빨리,早く,Quickly.png
천천히,ゆっくり,Slowly.png
많이,たくさん,A lot.png
조금,少し,A little.png
자주,しばしば,Often.png
가끔,たまに,Sometimes.png
항상,いつも,Always.png
절대,絶対に,Never.png
바로,すぐに,Immediately.png
이미,すでに,Already.png
다시,再び,Again.png
같이,一緒に,Together.png
혼자,一人で,Alone.png
잘,よく,Well.png
나쁘게,悪く,Badly.png
크게,大きく,Loudly.png
작게,小さく,Quietly.png
멀리,遠く,Far.png
가까이,近く,Near.png
앞으로,前に,Forward.png
뒤로,後ろに,Backward.png
위로,上に,Upward.png
아래로,下に,Downward.png
밖에,外に,Outside.png
안에,内に,Inside.png
일찍,早く,Early.png
늦게,遅く,Late.png
따로,別々に,Separately.png
함께,共に,Together.png
충분히,十分に,Enough.png
곧,すぐ,Soon.png
결코,決して,Never.png
또한,また,Also.png
특히,特に,Especially.png
대부분,大部分,Mostly.png
완전히,完全に,Completely.png
정확히,正確に,Exactly.png
대략,おおよそ,Approximately.png
결국,結局,Eventually.png
직접,直接,Directly.png
간접적으로,間接的に,Indirectly.png
자연스럽게,自然に,Naturally.png
주로,主に,Mainly.png
단순히,単純に,Simply.png
자유롭게,自由に,Freely.png
일단,一旦,Once.png
꾸준히,一貫して,Consistently.png
조심스럽게,慎重に,Carefully.png
충분히,十分に,Sufficiently.png
가급적,できるだけ,As much as possible.png
강제로,強制的に,Forcefully.png
기꺼이,喜んで,Willingly.png
정기적으로,定期的に,Regularly.png
잠시,少しの間,For a while.png
의외로,意外に,Unexpectedly.png
일찍,早く,Early.png
나중에,後で,Later.png
현재,現在,Currently.png
과거에,過去に,In the past.png
미래에,未来に,In the future.png
